,0
0,0.10320000350475311
1,0.6571999788284302
2,0.586899995803833
3,0.5785999894142151
4,0.4959000051021576
5,0.7565000057220459
6,0.5716000199317932
7,0.5695000290870667
8,0.588699996471405
9,0.8453999757766724
10,0.5558000206947327
11,0.4876999855041504
12,0.578499972820282
13,0.5781999826431274
14,0.5759000182151794
15,0.7578999996185303
16,0.6550999879837036
17,0.6718000173568726
18,0.7666000127792358
19,0.58160001039505
20,0.5776000022888184
21,0.5475000143051147
22,0.49619999527931213
23,0.21310000121593475
24,0.2143000066280365
25,0.57669997215271
26,0.10320000350475311
27,0.5810999870300293
28,0.5604000091552734
29,0.4927000105381012
30,0.4945000112056732
31,0.7523000240325928
32,0.5794000029563904
33,0.6553999781608582
34,0.673799991607666
35,0.7657999992370605
36,0.6546000242233276
37,0.39820000529289246
38,0.6620000004768372
39,0.7560999989509583
40,0.4925999939441681
41,0.4952999949455261
42,0.5769000053405762
43,0.6621999740600586
44,0.6646000146865845
45,0.3847000002861023
46,0.3650999963283539
47,0.490200012922287
48,0.5806000232696533
49,0.5759999752044678
50,0.7627000212669373
51,0.5756000280380249
52,0.652899980545044
53,0.492900013923645
54,0.5723000168800354
55,0.4936000108718872
56,0.6657999753952026
57,0.10320000350475311
58,0.4957999885082245
59,0.6676999926567078
60,0.5644999742507935
61,0.5615000128746033
62,0.7641000151634216
63,0.5670999884605408
64,0.6543999910354614
65,0.7616999745368958
66,0.7578999996185303
67,0.5784000158309937
68,0.6607000231742859
69,0.5591999888420105
70,0.5594000220298767
71,0.5756999850273132
72,0.49079999327659607
73,0.10320000350475311
74,0.760699987411499
75,0.6665999889373779
76,0.5680999755859375
77,0.5687999725341797
78,0.10320000350475311
79,0.5723000168800354
80,0.5781000256538391
81,0.6453999876976013
82,0.5839999914169312
83,0.757099986076355
84,0.5874000191688538
85,0.10320000350475311
86,0.6628999710083008
87,0.4934999942779541
88,0.6669999957084656
89,0.8604000210762024
90,0.9502000212669373
91,0.7620999813079834
92,0.5746999979019165
93,0.6586999893188477
94,0.5809000134468079
95,0.6542999744415283
96,0.10320000350475311
97,0.6596999764442444
98,0.7573999762535095
99,0.6596999764442444
